team1,team2,toss_winner,toss_decision,winner
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils
Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant
Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant
Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians
